BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
R000578,HON. DAVID G. REICHERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0489616,TOBIS ISAAC L.,10/31/2016,11/21/2016,TAXI/PARKING/TOLLS,107.22,2016,TOBIS ISAAC L.
R000586,HON. JAMES B. RENACCI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0488381,CITIBANK GOV CARD SERVICE,1/17/2017,1/24/2017,TAXI/PARKING/TOLLS,583.02,2017,CITIBANK GOV CARD SERVICE
R000586,HON. JAMES B. RENACCI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0475159,CITIBANK GOV CARD SERVICE,11/14/2016,11/14/2016,TAXI/PARKING/TOLLS,146.8,2016,CITIBANK GOV CARD SERVICE
R000602,HON. KATHLEEN M. RICE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0491503,CITIBANK GOV CARD SERVICE,1/5/2017,1/25/2017,TAXI/PARKING/TOLLS,392.86,2017,CITIBANK GOV CARD SERVICE
R000602,HON. KATHLEEN M. RICE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0498765,CITIBANK GOV CARD SERVICE,1/30/2017,2/27/2017,TAXI/PARKING/TOLLS,135.96,2017,CITIBANK GOV CARD SERVICE
R000602,HON. KATHLEEN M. RICE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0479545,CITIBANK GOV CARD SERVICE,11/29/2016,12/28/2016,TAXI/PARKING/TOLLS,321.24,2016,CITIBANK GOV CARD SERVICE
R000597,HON. TOM RICE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0475207,BARRETT WALKER B.,10/14/2016,10/21/2016,TAXI/PARKING/TOLLS,114.1,2016,BARRETT WALKER B.
R000591,HON. MARTHA ROBY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0489089,CITIBANK GOV CARD SERVICE,1/22/2017,1/22/2017,TAXI/PARKING/TOLLS,347.13,2017,CITIBANK GOV CARD SERVICE
R000360,HON. LISA BLUNT ROCHESTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0497306,CURRAN CHRISTOPHER K,1/11/2017,2/16/2017,TAXI/PARKING/TOLLS,145.62,2017,CURRAN CHRISTOPHER K
R000575,HON. MIKE ROGERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0480449,CITIBANK GOV CARD SERVICE,11/28/2016,12/11/2016,TAXI/PARKING/TOLLS,167.4,2016,CITIBANK GOV CARD SERVICE
R000592,HON. TODD ROKITA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,E0489854,HON. THEODORE ROKITA,2/10/2017,2/13/2017,TAXI/PARKING/TOLLS,141.43,2017,HON. THEODORE ROKITA
R000583,HON. THOMAS J. ROONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0481261,VALENTI LEAH C,12/19/2016,12/21/2016,TAXI/PARKING/TOLLS,110.88,2016,VALENTI LEAH C
R000593,HON. DENNIS A. ROSS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0498826,CITIBANK GOV CARD SERVICE,1/26/2017,2/24/2017,TAXI/PARKING/TOLLS,390.7,2017,CITIBANK GOV CARD SERVICE
R000598,HON. KEITH J. ROTHFUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0473456,SHIVELY ALEXANDER,12/13/2016,12/14/2016,TAXI/PARKING/TOLLS,110.92,2016,SHIVELY ALEXANDER
R000487,HON. EDWARD R. ROYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,900991,BARILE CYNTHIA,1/16/2017,1/21/2017,TAXI/PARKING/TOLLS,164.69,2017,BARILE CYNTHIA
R000487,HON. EDWARD R. ROYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,901039,CATALAN SARA,1/16/2017,1/21/2017,TAXI/PARKING/TOLLS,128.55,2017,CATALAN SARA
R000487,HON. EDWARD R. ROYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,906671,PONG LAUREN D.,1/16/2017,1/21/2017,TAXI/PARKING/TOLLS,112.95,2017,PONG LAUREN D.
R000487,HON. EDWARD R. ROYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,902576,ROTERT BLAIR A.,2/8/2017,2/12/2017,TAXI/PARKING/TOLLS,175.67,2017,ROTERT BLAIR A.
R000576,HON. C. A. DUTCH RUPPERSBERGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0482986,OURSLER TARA L.,1/4/2017,1/10/2017,TAXI/PARKING/TOLLS,101.32,2017,OURSLER TARA L.
R000576,HON. C. A. DUTCH RUPPERSBERGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/13/2017,AP,E0495116,OURSLER TARA L.,1/12/2017,3/1/2017,TAXI/PARKING/TOLLS,232.89,2017,OURSLER TARA L.
R000576,HON. C. A. DUTCH RUPPERSBERGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0495114,OURSLER TARA L.,1/2/2017,3/1/2017,TAXI/PARKING/TOLLS,385,2017,OURSLER TARA L.
R000515,HON. BOBBY L. RUSH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,E0491192,CITIBANK GOV CARD SERVICE,1/9/2017,1/19/2017,TAXI/PARKING/TOLLS,116,2017,CITIBANK GOV CARD SERVICE
S001156,HON. LINDA T. SANCHEZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486268,CITIBANK GOV CARD SERVICE,1/14/2017,1/25/2017,TAXI/PARKING/TOLLS,252.45,2017,CITIBANK GOV CARD SERVICE
S001156,HON. LINDA T. SANCHEZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476815,CITIBANK GOV CARD SERVICE,12/19/2016,12/19/2016,TAXI/PARKING/TOLLS,174,2016,CITIBANK GOV CARD SERVICE
S000030,HON. LORETTA SANCHEZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0478575,CITIBANK GOV CARD SERVICE,11/30/2016,12/28/2016,TAXI/PARKING/TOLLS,149.64,2016,CITIBANK GOV CARD SERVICE
S000051,HON. MARK SANFORD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0471680,TAYLOR MATTHEW T.,11/21/2016,12/9/2016,TAXI/PARKING/TOLLS,118.9,2016,TAYLOR MATTHEW T.
S001168,HON. JOHN P. SARBANES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0478367,GARCIA VICTORIA R.,12/1/2016,12/31/2016,TAXI/PARKING/TOLLS,218.45,2016,GARCIA VICTORIA R.
S001145,HON. JANICE D. SCHAKOWSKY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0476194,HON. JANICE D SCHAKOWSKY,5/20/2016,6/14/2016,TAXI/PARKING/TOLLS,102.97,2016,HON. JANICE D SCHAKOWSKY
S001190,HON. BRADLEY S. SCHNEIDER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0496081,HON BRAD SCHNEIDER,1/23/2017,2/6/2017,TAXI/PARKING/TOLLS,152,2017,HON BRAD SCHNEIDER
S001180,HON. KURT SCHRADER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0480104,CITIBANK GOV CARD SERVICE,12/18/2016,12/21/2016,TAXI/PARKING/TOLLS,111,2016,CITIBANK GOV CARD SERVICE
S000250,HON. PETE SESSIONS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499468,GARCIA MATTHEW R,1/17/2017,1/20/2017,TAXI/PARKING/TOLLS,108.7,2017,GARCIA MATTHEW R
S001185,HON. TERRI A. SEWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0497653,CITIBANK GOV CARD SERVICE,1/10/2017,1/26/2017,TAXI/PARKING/TOLLS,160.43,2017,CITIBANK GOV CARD SERVICE
S001185,HON. TERRI A. SEWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0497789,THOMAS SHASHRINA L,2/13/2017,3/7/2017,TAXI/PARKING/TOLLS,393,2017,THOMAS SHASHRINA L
S001185,HON. TERRI A. SEWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0500315,THOMAS SHASHRINA L,2/20/2017,3/12/2017,TAXI/PARKING/TOLLS,329.82,2017,THOMAS SHASHRINA L
S001185,HON. TERRI A. SEWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/5/2017,AP,E0472277,THOMAS SHASHRINA L,10/6/2016,11/22/2016,TAXI/PARKING/TOLLS,271.44,2016,THOMAS SHASHRINA L
S001185,HON. TERRI A. SEWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0484841,CITIBANK GOV CARD SERVICE,12/6/2016,12/12/2016,TAXI/PARKING/TOLLS,120.29,2016,CITIBANK GOV CARD SERVICE
S000364,HON. JOHN SHIMKUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0478097,ABM PARKING SERVICES- STL AIRPORT,12/1/2016,12/31/2016,TAXI/PARKING/TOLLS,250,2016,ABM PARKING SERVICES- STL AIRPORT
S001191,HON. KYRSTEN SINEMA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0483556,CITIBANK GOV CARD SERVICE,12/10/2016,12/10/2016,TAXI/PARKING/TOLLS,117.45,2016,CITIBANK GOV CARD SERVICE
S000522,HON. CHRISTOPHER H. SMITH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0497983,HON. CHRISTOPHER H. SMITH,2/19/2017,2/25/2017,TAXI/PARKING/TOLLS,125.6,2017,HON. CHRISTOPHER H. SMITH
S001199,HON. LLOYD SMUCKER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0478797,CAMMAUF NICHOLAS J,1/3/2017,1/3/2017,TAXI/PARKING/TOLLS,280,2017,CAMMAUF NICHOLAS J
S001196,HON. ELISE M. STEFANIK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0497386,CITIBANK GOV CARD SERVICE,1/28/2017,2/10/2017,TAXI/PARKING/TOLLS,147,2017,CITIBANK GOV CARD SERVICE
S001192,HON. CHRIS STEWART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/15/2017,AP,E0489971,CITIBANK GOV CARD SERVICE,1/3/2017,1/21/2017,TAXI/PARKING/TOLLS,115.19,2017,CITIBANK GOV CARD SERVICE
S001188,HON. MARLIN A. STUTZMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0491905,CITIBANK GOV CARD SERVICE,9/23/2016,9/25/2016,TAXI/PARKING/TOLLS,123.45,2016,CITIBANK GOV CARD SERVICE
S001193,HON. ERIC SWALWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0485174,HON ERIC SWALWELL,1/6/2017,1/30/2017,TAXI/PARKING/TOLLS,510.02,2017,HON ERIC SWALWELL
S001193,HON. ERIC SWALWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0491819,MCDONALD ANNE E.,1/5/2017,1/6/2017,TAXI/PARKING/TOLLS,145.32,2017,MCDONALD ANNE E.
S001193,HON. ERIC SWALWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0491834,HON ERIC SWALWELL,2/3/2017,2/13/2017,TAXI/PARKING/TOLLS,240.03,2017,HON ERIC SWALWELL
S001193,HON. ERIC SWALWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0495830,HON ERIC SWALWELL,2/16/2017,2/16/2017,TAXI/PARKING/TOLLS,111.04,2017,HON ERIC SWALWELL
S001193,HON. ERIC SWALWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0479136,CITIBANK GOV CARD SERVICE,12/12/2016,12/12/2016,TAXI/PARKING/TOLLS,229.02,2016,CITIBANK GOV CARD SERVICE
S001193,HON. ERIC SWALWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480565,CITIBANK GOV CARD SERVICE,9/26/2016,10/26/2016,TAXI/PARKING/TOLLS,109.96,2016,CITIBANK GOV CARD SERVICE
T000472,HON. MARK TAKANO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0483680,COUNTY OF RIVERSIDE,2/1/2017,2/28/2017,TAXI/PARKING/TOLLS,130,2017,COUNTY OF RIVERSIDE
T000472,HON. MARK TAKANO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0483693,HON MARK A TAKANO,1/3/2017,1/11/2017,TAXI/PARKING/TOLLS,148.25,2017,HON MARK A TAKANO
T000468,HON. DINA TITUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/26/2017,AP,E0481440,HON DINA TITUS,1/9/2017,1/16/2017,TAXI/PARKING/TOLLS,210,2017,HON DINA TITUS
T000468,HON. DINA TITUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0479511,HON DINA TITUS,1/6/2017,1/6/2017,TAXI/PARKING/TOLLS,105,2017,HON DINA TITUS
T000468,HON. DINA TITUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486779,HON DINA TITUS,1/19/2017,1/28/2017,TAXI/PARKING/TOLLS,441,2017,HON DINA TITUS
T000468,HON. DINA TITUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0489404,HON DINA TITUS,2/1/2017,2/7/2017,TAXI/PARKING/TOLLS,453,2017,HON DINA TITUS
T000468,HON. DINA TITUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0493585,HON DINA TITUS,2/13/2017,2/18/2017,TAXI/PARKING/TOLLS,210,2017,HON DINA TITUS
T000468,HON. DINA TITUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0497112,HON DINA TITUS,2/27/2017,2/27/2017,TAXI/PARKING/TOLLS,210,2017,HON DINA TITUS
T000468,HON. DINA TITUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0500613,HON DINA TITUS,3/17/2017,3/17/2017,TAXI/PARKING/TOLLS,105,2017,HON DINA TITUS
T000468,HON. DINA TITUS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/9/2017,AP,E0475234,HON DINA TITUS,11/29/2016,11/29/2016,TAXI/PARKING/TOLLS,105,2016,HON DINA TITUS
T000475,HON. DAVID A. TROTT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0487783,HON DAVID A TROTT,1/6/2017,1/6/2017,TAXI/PARKING/TOLLS,120.6,2017,HON DAVID A TROTT
T000475,HON. DAVID A. TROTT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0484607,HON DAVID A TROTT,11/17/2016,11/29/2016,TAXI/PARKING/TOLLS,221.4,2016,HON DAVID A TROTT
T000475,HON. DAVID A. TROTT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0487787,HON DAVID A TROTT,1/11/2016,1/21/2016,TAXI/PARKING/TOLLS,380,2016,HON DAVID A TROTT
T000465,HON. NIKI TSONGAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,E0489458,MARTELLO BENJAMIN J.,1/20/2017,1/20/2017,TAXI/PARKING/TOLLS,132.1,2017,MARTELLO BENJAMIN J.
T000465,HON. NIKI TSONGAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0482068,ORTIZ WANDA P.,12/4/2016,12/7/2016,TAXI/PARKING/TOLLS,112.02,2016,ORTIZ WANDA P.
V000129,HON. DAVID G. VALADAO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0479844,HON DAVID VALADAO,1/3/2017,1/7/2017,TAXI/PARKING/TOLLS,150,2017,HON DAVID VALADAO
V000129,HON. DAVID G. VALADAO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0489781,CITIBANK GOV CARD SERVICE,1/5/2017,1/23/2017,TAXI/PARKING/TOLLS,211.44,2017,CITIBANK GOV CARD SERVICE
V000129,HON. DAVID G. VALADAO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0492259,CITIBANK GOV CARD SERVICE,1/2/2017,1/23/2017,TAXI/PARKING/TOLLS,410.17,2017,CITIBANK GOV CARD SERVICE
V000129,HON. DAVID G. VALADAO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0492260,CITIBANK GOV CARD SERVICE,1/1/2017,1/23/2017,TAXI/PARKING/TOLLS,227.43,2017,CITIBANK GOV CARD SERVICE
V000129,HON. DAVID G. VALADAO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0501004,CITIBANK GOV CARD SERVICE,1/30/2017,2/28/2017,TAXI/PARKING/TOLLS,229.68,2017,CITIBANK GOV CARD SERVICE
V000129,HON. DAVID G. VALADAO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0501478,CITIBANK GOV CARD SERVICE,1/31/2017,2/17/2017,TAXI/PARKING/TOLLS,129.81,2017,CITIBANK GOV CARD SERVICE
V000129,HON. DAVID G. VALADAO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0501519,CITIBANK GOV CARD SERVICE,1/4/2017,1/19/2017,TAXI/PARKING/TOLLS,196.99,2017,CITIBANK GOV CARD SERVICE
V000129,HON. DAVID G. VALADAO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0481174,HON DAVID VALADAO,12/22/2016,12/29/2016,TAXI/PARKING/TOLLS,101.38,2016,HON DAVID VALADAO
V000129,HON. DAVID G. VALADAO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0478591,CITIBANK GOV CARD SERVICE,11/29/2016,12/7/2016,TAXI/PARKING/TOLLS,132.07,2016,CITIBANK GOV CARD SERVICE
V000130,HON. JUAN VARGAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0481998,WALSH TIMOTHY,1/3/2017,1/22/2017,TAXI/PARKING/TOLLS,355.43,2017,WALSH TIMOTHY
V000130,HON. JUAN VARGAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0491320,CITIBANK GOV CARD SERVICE,1/8/2017,1/15/2017,TAXI/PARKING/TOLLS,360,2017,CITIBANK GOV CARD SERVICE
V000130,HON. JUAN VARGAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0482691,CITIBANK GOV CARD SERVICE,11/29/2016,12/9/2016,TAXI/PARKING/TOLLS,360,2016,CITIBANK GOV CARD SERVICE
V000131,HON. MARC A. VEASEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0492264,CITIBANK GOV CARD SERVICE,12/5/2016,12/9/2016,TAXI/PARKING/TOLLS,188.8,2016,CITIBANK GOV CARD SERVICE
V000108,HON. PETER J. VISCLOSKY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/15/2017,AP,E0492375,LOPEZ MARK A.,1/21/2017,2/13/2017,TAXI/PARKING/TOLLS,197,2017,LOPEZ MARK A.
V000108,HON. PETER J. VISCLOSKY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/15/2017,AP,E0492375,LOPEZ MARK A.,2/20/2017,2/26/2017,TAXI/PARKING/TOLLS,175,2017,LOPEZ MARK A.
V000108,HON. PETER J. VISCLOSKY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,897364,LOPEZ MARK A.,11/17/2016,12/7/2016,TAXI/PARKING/TOLLS,180.43,2016,LOPEZ MARK A.
V000108,HON. PETER J. VISCLOSKY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0487727,LOPEZ MARK A.,12/22/2016,12/22/2016,TAXI/PARKING/TOLLS,115.33,2016,LOPEZ MARK A.
W000812,HON. ANN WAGNER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0487445,CITIBANK GOV CARD SERVICE,1/6/2017,1/23/2017,TAXI/PARKING/TOLLS,293,2017,CITIBANK GOV CARD SERVICE
W000812,HON. ANN WAGNER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0488872,MORGAN CHRISTIAN G.,1/30/2017,2/6/2017,TAXI/PARKING/TOLLS,111.63,2017,MORGAN CHRISTIAN G.
W000812,HON. ANN WAGNER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0477610,CITIBANK GOV CARD SERVICE,12/2/2016,12/11/2016,TAXI/PARKING/TOLLS,257,2016,CITIBANK GOV CARD SERVICE
W000798,HON. TIM WALBERG,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/18/2017,AP,E0476074,CITIBANK GOV CARD SERVICE,12/10/2016,12/10/2016,TAXI/PARKING/TOLLS,138,2016,CITIBANK GOV CARD SERVICE
W000791,HON. GREG WALDEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,E0494151,STILES MELISSA G.,1/16/2017,1/22/2017,TAXI/PARKING/TOLLS,123.11,2017,STILES MELISSA G.
W000791,HON. GREG WALDEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0473426,STRADER NICHOLAS L.,7/11/2016,7/11/2016,TAXI/PARKING/TOLLS,204,2016,STRADER NICHOLAS L.
W000799,HON. TIMOTHY J. WALZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0492494,CITIBANK GOV CARD SERVICE,1/6/2017,1/12/2017,TAXI/PARKING/TOLLS,119.3,2017,CITIBANK GOV CARD SERVICE
W000799,HON. TIMOTHY J. WALZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0500342,CITIBANK GOV CARD SERVICE,1/30/2017,2/20/2017,TAXI/PARKING/TOLLS,152.83,2017,CITIBANK GOV CARD SERVICE
W000799,HON. TIMOTHY J. WALZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0472304,CITIBANK GOV CARD SERVICE,11/13/2016,11/20/2016,TAXI/PARKING/TOLLS,166,2016,CITIBANK GOV CARD SERVICE
W000797,HON. DEBBIE WASSERMAN-SCHULTZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0488942,CITIBANK GOV CARD SERVICE,1/2/2017,1/24/2017,TAXI/PARKING/TOLLS,107.86,2017,CITIBANK GOV CARD SERVICE
W000797,HON. DEBBIE WASSERMAN-SCHULTZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0498889,CITIBANK GOV CARD SERVICE,2/21/2017,2/27/2017,TAXI/PARKING/TOLLS,126,2017,CITIBANK GOV CARD SERVICE
W000797,HON. DEBBIE WASSERMAN-SCHULTZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0501225,CITIBANK GOV CARD SERVICE,1/26/2017,2/16/2017,TAXI/PARKING/TOLLS,209.12,2017,CITIBANK GOV CARD SERVICE
W000797,HON. DEBBIE WASSERMAN-SCHULTZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0498800,CITIBANK GOV CARD SERVICE,1/2/2017,1/19/2017,TAXI/PARKING/TOLLS,1921.87,2017,CITIBANK GOV CARD SERVICE
W000797,HON. DEBBIE WASSERMAN-SCHULTZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/5/2017,AP,E0472273,CITIBANK GOV CARD SERVICE,10/31/2016,11/23/2016,TAXI/PARKING/TOLLS,409.89,2016,CITIBANK GOV CARD SERVICE
W000797,HON. DEBBIE WASSERMAN-SCHULTZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0479018,CITIBANK GOV CARD SERVICE,11/30/2016,12/16/2016,TAXI/PARKING/TOLLS,182.71,2016,CITIBANK GOV CARD SERVICE
W000797,HON. DEBBIE WASSERMAN-SCHULTZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0480992,CITIBANK GOV CARD SERVICE,11/29/2016,12/16/2016,TAXI/PARKING/TOLLS,1577.07,2016,CITIBANK GOV CARD SERVICE
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0489272,CITIBANK GOV CARD SERVICE,12/29/2016,1/28/2017,TAXI/PARKING/TOLLS,101.43,2017,CITIBANK GOV CARD SERVICE
W000814,HON. RANDY K. WEBER  SR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0480008,CITIBANK GOV CARD SERVICE,11/29/2016,11/29/2016,TAXI/PARKING/TOLLS,125.3,2016,CITIBANK GOV CARD SERVICE
W000821,HON. BRUCE WESTERMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0488794,HON BRUCE WESTERMAN,1/13/2017,1/28/2017,TAXI/PARKING/TOLLS,125.27,2017,HON BRUCE WESTERMAN
W000821,HON. BRUCE WESTERMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0498081,HON BRUCE WESTERMAN,2/2/2017,2/28/2017,TAXI/PARKING/TOLLS,127.69,2017,HON BRUCE WESTERMAN
W000816,HON. ROGER WILLIAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0484769,ETUE JOHN,1/5/2017,1/21/2017,TAXI/PARKING/TOLLS,240.92,2017,ETUE JOHN
